[[-0.0492187,-0.00937499]; [-0.0492187,-0.00874999]; [-0.0484374,-0.00937499]; [-0.0484374,-0.00874999]; ]
[[-0.0492187,-0.00999999]; [-0.0492187,-0.00937499]; [-0.0484374,-0.00999999]; [-0.0484374,-0.00937499]; ]
[[-0.0492187,-0.00812499]; [-0.0492187,-0.00749999]; [-0.0484374,-0.00812499]; [-0.0484374,-0.00749999]; ]
[[-0.0492187,-0.00874999]; [-0.0492187,-0.00812499]; [-0.0484374,-0.00874999]; [-0.0484374,-0.00812499]; ]
[[-0.0492187,-0.00687499]; [-0.0492187,-0.00624999]; [-0.0484374,-0.00687499]; [-0.0484374,-0.00624999]; ]
[[-0.0492187,-0.00749999]; [-0.0492187,-0.00687499]; [-0.0484374,-0.00749999]; [-0.0484374,-0.00687499]; ]
[[-0.0492187,-0.00562499]; [-0.0492187,-0.00499999]; [-0.0484374,-0.00562499]; [-0.0484374,-0.00499999]; ]
[[-0.0492187,-0.00624999]; [-0.0492187,-0.00562499]; [-0.0484374,-0.00624999]; [-0.0484374,-0.00562499]; ]
[[-0.0492187,-0.00437499]; [-0.0492187,-0.00374999]; [-0.0484374,-0.00437499]; [-0.0484374,-0.00374999]; ]
[[-0.0492187,-0.00499999]; [-0.0492187,-0.00437499]; [-0.0484374,-0.00499999]; [-0.0484374,-0.00437499]; ]
[[-0.0492187,-0.00312499]; [-0.0492187,-0.00249999]; [-0.0484374,-0.00312499]; [-0.0484374,-0.00249999]; ]
[[-0.0492187,-0.00374999]; [-0.0492187,-0.00312499]; [-0.0484374,-0.00374999]; [-0.0484374,-0.00312499]; ]
[[-0.0492187,-0.00187499]; [-0.0492187,-0.00124999]; [-0.0484374,-0.00187499]; [-0.0484374,-0.00124999]; ]
[[-0.0492187,-0.00249999]; [-0.0492187,-0.00187499]; [-0.0484374,-0.00249999]; [-0.0484374,-0.00187499]; ]
[[0.0484376,0.00187501]; [0.0484376,0.00250001]; [0.0492188,0.00187501]; [0.0492188,0.00250001]; ]
[[0.0484376,0.00125001]; [0.0484376,0.00187501]; [0.0492188,0.00125001]; [0.0492188,0.00187501]; ]
[[0.0484376,0.00312501]; [0.0484376,0.00375001]; [0.0492188,0.00312501]; [0.0492188,0.00375001]; ]
[[0.0484376,0.00250001]; [0.0484376,0.00312501]; [0.0492188,0.00250001]; [0.0492188,0.00312501]; ]
[[0.0484376,0.00437501]; [0.0484376,0.00500001]; [0.0492188,0.00437501]; [0.0492188,0.00500001]; ]
[[0.0484376,0.00375001]; [0.0484376,0.00437501]; [0.0492188,0.00375001]; [0.0492188,0.00437501]; ]
[[0.0484376,0.00562501]; [0.0484376,0.00625001]; [0.0492188,0.00562501]; [0.0492188,0.00625001]; ]
[[0.0484376,0.00500001]; [0.0484376,0.00562501]; [0.0492188,0.00500001]; [0.0492188,0.00562501]; ]
[[0.0484376,0.00687501]; [0.0484376,0.00750001]; [0.0492188,0.00687501]; [0.0492188,0.00750001]; ]
[[0.0484376,0.00625001]; [0.0484376,0.00687501]; [0.0492188,0.00625001]; [0.0492188,0.00687501]; ]
[[0.0484376,0.00812501]; [0.0484376,0.00875001]; [0.0492188,0.00812501]; [0.0492188,0.00875001]; ]
[[0.0484376,0.00750001]; [0.0484376,0.00812501]; [0.0492188,0.00750001]; [0.0492188,0.00812501]; ]
[[0.0484376,0.00937501]; [0.0484376,0.0100001]; [0.0492188,0.00937501]; [0.0492188,0.0100001]; ]
[[0.0484376,0.00875001]; [0.0484376,0.00937501]; [0.0492188,0.00875001]; [0.0492188,0.00937501]; ]
[[-0.0492187,-0.00937499]; [-0.0492187,-0.00874999]; [-0.0484374,-0.00937499]; [-0.0484374,-0.00874999]; ]
[[-0.0492187,-0.00999999]; [-0.0492187,-0.00937499]; [-0.0484374,-0.00999999]; [-0.0484374,-0.00937499]; ]
[[-0.0492187,-0.00812499]; [-0.0492187,-0.00749999]; [-0.0484374,-0.00812499]; [-0.0484374,-0.00749999]; ]
[[-0.0492187,-0.00874999]; [-0.0492187,-0.00812499]; [-0.0484374,-0.00874999]; [-0.0484374,-0.00812499]; ]
[[-0.0492187,-0.00687499]; [-0.0492187,-0.00624999]; [-0.0484374,-0.00687499]; [-0.0484374,-0.00624999]; ]
[[-0.0492187,-0.00749999]; [-0.0492187,-0.00687499]; [-0.0484374,-0.00749999]; [-0.0484374,-0.00687499]; ]
[[-0.0492187,-0.00562499]; [-0.0492187,-0.00499999]; [-0.0484374,-0.00562499]; [-0.0484374,-0.00499999]; ]
[[-0.0492187,-0.00624999]; [-0.0492187,-0.00562499]; [-0.0484374,-0.00624999]; [-0.0484374,-0.00562499]; ]
[[-0.0492187,-0.00437499]; [-0.0492187,-0.00374999]; [-0.0484374,-0.00437499]; [-0.0484374,-0.00374999]; ]
[[-0.0492187,-0.00499999]; [-0.0492187,-0.00437499]; [-0.0484374,-0.00499999]; [-0.0484374,-0.00437499]; ]
[[-0.0492187,-0.00312499]; [-0.0492187,-0.00249999]; [-0.0484374,-0.00312499]; [-0.0484374,-0.00249999]; ]
[[-0.0492187,-0.00374999]; [-0.0492187,-0.00312499]; [-0.0484374,-0.00374999]; [-0.0484374,-0.00312499]; ]
[[-0.0492187,-0.00187499]; [-0.0492187,-0.00124999]; [-0.0484374,-0.00187499]; [-0.0484374,-0.00124999]; ]
[[-0.0492187,-0.00249999]; [-0.0492187,-0.00187499]; [-0.0484374,-0.00249999]; [-0.0484374,-0.00187499]; ]
[[0.0484376,0.00187501]; [0.0484376,0.00250001]; [0.0492188,0.00187501]; [0.0492188,0.00250001]; ]
[[0.0484376,0.00125001]; [0.0484376,0.00187501]; [0.0492188,0.00125001]; [0.0492188,0.00187501]; ]
[[0.0484376,0.00312501]; [0.0484376,0.00375001]; [0.0492188,0.00312501]; [0.0492188,0.00375001]; ]
[[0.0484376,0.00250001]; [0.0484376,0.00312501]; [0.0492188,0.00250001]; [0.0492188,0.00312501]; ]
[[0.0484376,0.00437501]; [0.0484376,0.00500001]; [0.0492188,0.00437501]; [0.0492188,0.00500001]; ]
[[0.0484376,0.00375001]; [0.0484376,0.00437501]; [0.0492188,0.00375001]; [0.0492188,0.00437501]; ]
[[0.0484376,0.00562501]; [0.0484376,0.00625001]; [0.0492188,0.00562501]; [0.0492188,0.00625001]; ]
[[0.0484376,0.00500001]; [0.0484376,0.00562501]; [0.0492188,0.00500001]; [0.0492188,0.00562501]; ]
[[0.0484376,0.00687501]; [0.0484376,0.00750001]; [0.0492188,0.00687501]; [0.0492188,0.00750001]; ]
[[0.0484376,0.00625001]; [0.0484376,0.00687501]; [0.0492188,0.00625001]; [0.0492188,0.00687501]; ]
[[0.0484376,0.00812501]; [0.0484376,0.00875001]; [0.0492188,0.00812501]; [0.0492188,0.00875001]; ]
[[0.0484376,0.00750001]; [0.0484376,0.00812501]; [0.0492188,0.00750001]; [0.0492188,0.00812501]; ]
